State,CNF,RCV,DED,ACT
AN,7635,7498,129,8
AD,2058065,2036865,14268,6932
AP,54942,54426,280,236
AS,605465,595520,5934,2664
BH,726004,716305,9661,37
CD,65285,64426,820,39
CH,1005570,991810,13570,190
DHN,10677,10638,4,4
DL,1439252,1413798,25089,365
GA,177228,173252,3332,644
GJ,826184,815909,10086,189
HR,771009,760871,9875,263
HP,220792,215769,3694,1312
JK,330666,325247,4426,993
JR,348381,343126,5135,120
KA,2981732,2934085,37906,9712
KL,4809619,4685932,26448,96710
LAD,20856,20602,208,46
LAK,10365,10267,51,3
MP,792647,782015,10523,109
MH,6581677,6407936,139621,30525
MN,122228,118908,1887,1433
MG,82580,80134,1425,1021
MZ,107566,93939,363,13264
NA,31492,29557,673,247
OD,1032673,1019764,8314,4595
PUD,127151,124686,1848,617
PUN,601913,585167,16531,215
RJ,954370,945380,8954,36
SK,31698,30767,389,224
TN,2680857,2629201,35814,15842
TL,668266,660143,3933,4190
TR,84267,83279,813,112
UP,1709985,1686945,22895,145
UK,343695,330022,7397,158
WB,1577711,1551115,18924,7672
