State,Confirmed,Recovered,Deaths,Active
Andaman & Nicobar Island,7651,7518,129,4
Andhra Pradesh,2066450,2047722,14373,4355
Arunanchal Pradesh,55155,54774,280,101
Assam,610645,600974,5997,2327
Bihar,726098,716390,9661,46
Chandigarh,65351,64495,820,36
Chhattisgarh,1006052,992159,13577,316
Daman & Diu,10681,10644,4,2
NCT of Delhi,1439870,1414431,25091,348
Goa,178108,174392,3364,352
Gujarat,826577,816283,10089,205
Haryana,771252,761068,10049,135
Himachal Pradesh,224106,218410,3738,1942
Jammu & Kashmir,332249,326915,4432,902
Jharkhand,348764,343518,5138,108
Karnataka,2988333,2941578,38082,8644
Kerala,4968657,4857181,31681,79266
Dadara & Nagar Havelli,20962,20687,208,67
Lakshadweep,10365,10270,51,0
Madhya Pradesh,792854,782215,10524,115
Maharashtra,6611078,6450585,140216,16658
Manipur,123731,121102,1921,708
Meghalaya,83627,81746,1450,431
Mizoram,121359,114612,432,6315
Nagaland,31842,29904,685,210
Odisha,1041457,1029147,8386,3924
Puducherry,128013,125726,1857,430
Punjab,602401,585591,16559,251
Rajasthan,954429,945443,8954,32
Sikkim,31979,31063,396,195
Tamil Nadu,2702623,2655015,36116,11492
Telangana,671463,663498,3956,4009
Tripura,84468,83466,813,126
Uttar Pradesh,1710158,1687151,22900,107
Uttarakhand,343896,330195,7400,151
West Bengal,1592908,1565471,19141,8296
